Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103, C104, C306, C308, C310, C312",1206,8,10u,C2158137
"C201, C202, C203, C204, C205, C206, C305, C307, C309, C311",0603,10,0.1u,
"C207, C301, C302, C303, C304",0603,5,2.2u,
"H101, H102",MountingHole_2.2mm_M2,2,MountingHole,
J201,PinHeader_1x03_P2.00mm_Vertical,1,Conn_01x03,
J202,PinHeader_1x05_P2.00mm_Vertical,1,Conn_01x05,
J204,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J301,3.5mmHeadphoneTRRS_THT,1,AudioJack4,C500087
"JP102, JP103, JP104",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,3,SolderJumper_2_Open,
R201,0603,1,10k,
"R202, R203",0603,2,10,
"R204, R205",0603,2,5.1k,
"R301, R302",0603,2,470,
"SW201, SW202, SW203",PushButtonSMD_2.93x3.9,3,SW_Push,C18077675
"U101, U102",SOT-223-3_TabPin2,2,AP1117-33,C108494
U201,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F411CEUx,C60420
U301,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,
